Set No.,2023 Set,Country,Association,DOB,Age,Specialism,Batting_Style,Bowling_Style,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2022 Team,2022 IPL,C/U/A,Reserve_Price,Player_Name
22,AL3,Sri Lanka,F,29-05-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,1,18,38,0,KKR,KKR,0,Capped,50,Chamika Karunaratne
22,AL3,England,F,10-04-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,1,0,0,0,Do No Play,Do No Play,0,Capped,200,Jamie Overton
22,AL3,India,TNCA,04-04-1991,32,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,1,5,KKR,Do No Play,0,Capped,50,Sandeep Warrier
23,FA3,Australia,F,23-06-1994,28,BOWLER,LHB,LEFT ARM Fast,0,0,1,0,"KXIP, DC",Do No Play,0,Capped,50,Ben Dwarshuis
23,FA3,England,F,02-12-1987,35,BOWLER,RHB,RIGHT ARM Fast,0,0,6,0,Do No Play,Do No Play,0,Capped,50,Richard Gleeson
23,FA3,Afghanistan,F,23-09-1999,23,BOWLER,RHB,RIGHT ARM Fast Medium,0,7,22,0,Do No Play,Do No Play,0,Capped,50,Naveen Ul Haq
23,FA3,Sri Lanka,F,13-02-1997,26,BOWLER,LHB,RIGHT ARM Fast,24,13,25,0,Do No Play,Do No Play,0,Capped,50,Lahiru Kumara
23,FA3,Ireland,F,01-11-1999,23,BOWLER,RHB,LEFT ARM Fast,0,22,53,0,Do No Play,Do No Play,0,Capped,50,Joshua Little
23,FA3,Sri Lanka,F,18-09-2000,22,BOWLER,LHB,LEFT ARM Fast,0,0,6,0,Do No Play,Do No Play,0,Capped,50,Dilshan Madushanka
23,FA3,India,HCA,18-09-1988,34,BOWLER,RHB,RIGHT ARM Fast Medium,0,26,8,86,"KXIP,CSK,DC",Do No Play,0,Capped,50,Mohit Sharma
23,FA3,Australia,F,04-11-1994,28,BOWLER,RHB,RIGHT ARM Fast,0,7,19,6,"RCB, SRH",Do No Play,0,Capped,50,Billy Stanlake
23,FA3,Australia,F,12-12-1986,36,BOWLER,RHB,RIGHT ARM Fast Medium,0,7,32,30,"GL, KXIP, RR, LSG",LSG,3,Capped,100,Andrew Tye
23,FA3,England,F,02-08-1995,27,BOWLER,LHB,LEFT ARM Fast,0,1,2,0,Do No Play,Do No Play,0,Capped,100,Luke Wood
24,UBA3,India,DDCA,18-09-2001,21,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Priyansh Arya
24,UBA3,South Africa,F,03-11-1998,24,BATSMAN,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Matthew Breetzke
24,UBA3,India,HCA,14-10-1997,25,BATSMAN,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shivam Chauhan
24,UBA3,India,SSCB,18-09-1995,27,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Rahul Gahlaut
24,UBA3,India,CAB,21-03-1999,24,BATSMAN,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sudip Gharami
24,UBA3,India,TNCA,16-08-1996,26,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,0,0,CSK,CSK,0,Uncapped,20,C. Hari Nishaanth
24,UBA3,India,CSCSCA,05-08-1997,25,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Amandeep Khare
24,UBA3,India,BCA,04-09-1996,26,BATSMAN,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Bhanu Pania
24,UBA3,India,HPCA,21-06-1995,27,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ekant Sen
24,UBA3,India,ARCA,20-12-1995,27,BATSMAN,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Akash Singh
25,UAL3,India,CAU,17-11-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Himanshu Bisht
25,UAL3,India,JKCA,13-09-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,MI,Do No Play,0,Uncapped,20,Yudhvir Charak
25,UAL3,India,HYCA,10-05-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Mickil Jaiswal
25,UAL3,India,MCA,13-03-1997,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,DC,Do No Play,0,Uncapped,20,Shams Mulani
25,UAL3,India,HYCA,28-10-2000,22,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,G.Aniketh Reddy
25,UAL3,India,BCA,03-02-1996,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Atit Sheth
25,UAL3,India,TNCA,03-07-1998,24,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,0,0,"KKR, DC",Do No Play,0,Uncapped,20,M. Siddharth
25,UAL3,India,CAU,22-01-1991,32,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,0,5,"MI, KXIP",Do No Play,0,Uncapped,20,Swapnil Singh
25,UAL3,India,HYCA,15-11-1995,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Tanay Thyagarajann
25,UAL3,India,HPCA,18-11-1990,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sumeet Verma
25,UAL3,Namibia,F,18-05-1985,37,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,15,RCB,Do No Play,0,Associate,100,David Wiese
25,UAL3,India,TNCA,10-05-1995,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,1,"KKR, SRH, MI",MI,1,Uncapped,20,Sanjay Yadav
26,UWK3,India,TNCA,26-09-2002,20,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ajitesh Guruswamy
26,UWK3,India,RCA,06-10-1995,27,WICKETKEEPER,RHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Yash Kothari
26,UWK3,India,TNCA,28-11-1990,32,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Suresh Kumar
26,UWK3,India,JSCA,23-10-2004,18,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Kumar Kushagra
26,UWK3,India,PCA,29-11-1995,27,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Anmol Malhotra
26,UWK3,India,JSCA,13-09-2002,20,WICKETKEEPER,LHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Robin Minz
26,UWK3,India,CAB,01-01-1997,26,WICKETKEEPER,LHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Agniv Pan
26,UWK3,India,GUCA,16-10-2001,21,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Priyesh Patel
26,UWK3,India,BCA,15-05-1997,25,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Mitesh Patel
26,UWK3,India,CAB,17-10-2002,20,WICKETKEEPER,LHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Abishek Porel
26,UWK3,India,ACA,26-05-2003,19,WICKETKEEPER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Nitish Kumar Reddy
26,UWK3,India,CAP,15-11-1995,27,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Bharat Sharma
26,UWK3,India,RSPB,01-11-1993,29,WICKETKEEPER,LHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Vivek Singh
26,UWK3,India,RCA,14-03-1995,28,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,0,0,1,KKR,KKR,1,Uncapped,20,Abhijeet Tomar
27,UFA3,India,JKCA,05-02-2003,20,BOWLER,LHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Basit Bashir
27,UFA3,South Africa,F,11-08-1995,27,BOWLER,LHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Nandre Burger
27,UFA3,India,JKCA,05-04-2000,23,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,3,"MI, KKR",KKR,2,Uncapped,20,Rasikh Dar
27,UFA3,India,BICA,14-12-2004,18,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sakib Hussain
27,UFA3,India,JKCA,20-01-2000,23,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Waseem Khanday
27,UFA3,India,CSCSCA,01-02-1991,32,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ravi Kiran Majeti
27,UFA3,India,BCA,11-12-1991,31,BOWLER,LHB,LEFT ARM Fast Medium,0,0,0,1,DC,Do No Play,0,Uncapped,20,Lukman Hussain Meriwala
27,UFA3,India,BICA,01-11-2000,22,BOWLER,RHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Anuj Raj
27,UFA3,India,UPCA,04-12-1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,29,"CSK, KKR, KXIP, RR, LSG",LSG,0,Uncapped,20,Ankit Singh Rajpoot
27,UFA3,India,JKCA,05-07-1998,24,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Avinash Singh
27,UFA3,India,DDCA,12-12-2001,21,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Prince Yadav
27,UFA3,India,ACA,20-02-1998,25,BOWLER,LHB,LEFT ARM Fast,0,0,0,2,"KKR, SRH",Do No Play,0,Uncapped,20,Prithviraj Yarra
28,USP3,India,OCA,15-07-1998,24,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Mushtaq Beg
28,USP3,India,TNCA,07-03-1993,30,BOWLER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Rocky Bhasker
28,USP3,India,KSCA,16-09-1997,25,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sanjith Devaraj
28,USP3,India,HCA,20-06-2001,21,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Raghav Goyal
28,USP3,Afghanistan,F,15-07-2007,15,BOWLER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Allah Mohammad
28,USP3,India,ACA,19-03-1990,33,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Lalit Mohan
28,USP3,India,HCA,10-10-2001,21,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Bhuwan Rohilla
28,USP3,India,JKCA,03-04-1997,26,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Aman Sharma
28,USP3,India,RCA,03-08-2002,20,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Manav Suthar
29,AL4,England,F,12-03-1995,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,2,28,30,13,"KKR, RR, DC",Do No Play,0,Capped,75,Tom Curran
29,AL4,Australia,F,01-02-1987,36,ALL-ROUNDER,RHB,RIGHT ARM Medium,4,16,24,62,"KKR, DD, RCB, SRH, PBKS",Do No Play,0,Capped,100,Moises Henriques
29,AL4,Bangladesh,F,22-09-1999,23,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,19,60,0,Do No Play,Do No Play,0,Capped,50,Afif Hossain
29,AL4,New Zealand,F,03-01-1992,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,2,18,2,"CSK, RCB",Do No Play,0,Capped,50,Scott Kuggeleijn
29,AL4,South Africa,F,07-01-1991,32,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,3,4,0,Do No Play,Do No Play,0,Capped,50,Sisanda Magala
29,AL4,England,F,10-04-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,8,7,0,0,Do No Play,Do No Play,0,Capped,200,Craig Overton
29,AL4,Australia,F,09-08-1990,32,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,0,8,23,7,RR,Do No Play,0,Capped,75,Darcy Short
29,AL4,Sri Lanka,F,06-09-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,45,60,33,0,Do No Play,Do No Play,0,Capped,50,Dhananjaya Silva
29,AL4,Sri Lanka,F,09-01-2003,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,1,5,0,0,Do No Play,Do No Play,0,Capped,50,Dunith Wellalage
30,FA4,India,BCA,29-10-1989,33,BOWLER,RHB,RIGHT ARM Fast,9,9,0,52,"DD, RCB, KXIP, RR, GT",GT,2,Capped,50,Varun Aaron
30,FA4,West Indies,F,19-08-1989,33,BOWLER,RHB,LEFT ARM Fast Medium,2,38,42,6,KXIP,Do No Play,0,Capped,50,Sheldon Cottrel
30,FA4,Australia,F,11-10-1987,35,BOWLER,RHB,RIGHT ARM Fast,0,32,28,39,"MI,DD, RCB, KKR, RR",RR,1,Capped,150,Nathan Coulter-Nile
30,FA4,South Africa,F,15-07-1994,28,BOWLER,RHB,RIGHT ARM Fast,0,2,0,0,Do No Play,Do No Play,0,Capped,50,Daryn Dupavillon
30,FA4,New Zealand,F,14-12-1991,31,BOWLER,RHB,RIGHT ARM Fast Medium,17,64,6,2,KXIP,Do No Play,0,Capped,100,Matt Henry
30,FA4,India,MCA,10-12-1988,34,BOWLER,RHB,RIGHT ARM Fast Medium,0,12,2,92,"MI,GL,RR",Do No Play,0,Capped,50,Dhawal Kulkarni
30,FA4,England,F,12-08-1992,30,BOWLER,RHB,LEFT ARM Fast,0,0,13,10,"RCB, MI",MI,5,Capped,200,Tymal Mills
30,FA4,England,F,15-02-1991,32,BOWLER,RHB,LEFT ARM Fast,0,1,0,0,Do No Play,Do No Play,0,Capped,75,David Payne
30,FA4,India,PCA,10-12-1992,30,BOWLER,LHB,LEFT ARM Fast Medium,0,6,2,24,"RR, SRH, KXIP, MI",Do No Play,0,Capped,50,Barinder Sran
30,FA4,South Africa,F,10-08-1992,30,BOWLER,RHB,RIGHT ARM Fast,1,0,1,0,Do No Play,Do No Play,0,Capped,50,Glenton Stuurman
31,UBA4,India,TNCA,02-09-1994,28,BATSMAN,LHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Anirudh Balachander
31,UBA4,India,PCA,28-10-1998,24,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Gourav Choudhary
31,UBA4,India,GUCA,27-05-2000,22,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Saurav Chuahan
31,UBA4,India,JSCA,24-10-1992,30,BATSMAN,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Kumar Deobrat
31,UBA4,India,GUCA,18-06-1990,32,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Chirag Gandhi
31,UBA4,India,MCA,25-10-1998,24,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,KXIP,Do No Play,0,Uncapped,20,Arman Jaffer
31,UBA4,India,UPCA,03-01-1998,25,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Madhav Kaushik
31,UBA4,India,GUCA,09-04-1990,33,BATSMAN,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Priyank Panchal
31,UBA4,India,CSCSCA,19-09-2003,19,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ayush Pandey
31,UBA4,India,KSCA,18-08-2001,21,BATSMAN,LHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Rohan Patil
31,UBA4,India,VCA,01-04-1995,28,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sanjay Ramaswamy
31,UBA4,India,UPCA,13-08-2003,19,BATSMAN,LHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Siddharth Yadav
32,UAL4,England,F,13-08-2004,18,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,40,Rehan Ahmed
32,UAL4,India,CAB,25-10-2002,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,1,RCB,Do No Play,0,Uncapped,20,Prayas Barman
32,UAL4,India,HYCA,20-09-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,MI,MI,0,Uncapped,20,Rahul Buddhi
32,UAL4,India,KCA,31-05-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Vaisakh Chandran
32,UAL4,India,CAB,28-09-1992,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,PBKS,PBKS,0,Uncapped,20,Writtick Chatterjee
32,UAL4,India,HPCA,07-10-1992,30,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,2,RR,Do No Play,0,Uncapped,20,Prashant Chopra
32,UAL4,India,VCA,23-07-2002,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Harsh Dubey
32,UAL4,India,MCA,16-10-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Tanush Kotian
32,UAL4,India,BCA,10-03-1999,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ninad Rathva
32,UAL4,India,TNCA,19-09-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,B. Surya
32,UAL4,England,F,09-10-1996,26,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,40,Jordan Thompson
32,UAL4,India,DDCA,17-09-1995,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shivank Vashisth
33,UWK4,India,HPCA,16-12-1995,27,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,0,0,0,0,"RPSG, DC",Do No Play,0,Uncapped,20,Ankush Bains
33,UWK4,England,F,29-04-1999,23,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Christopher Benjamin
33,UWK4,South Africa,F,31-05-2001,21,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Connor Esterhuizen
33,UWK4,India,UTCA,15-09-1999,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Mohd Arslan Khan
33,UWK4,India,ACA,17-07-2001,21,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Mamidi Krishna
33,UWK4,India,JKCA,11-12-1996,26,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Fazil Makaya
33,UWK4,India,UPCA,10-05-1993,29,WICKETKEEPER,RHB,-,0,0,0,14,"GL, KXIP, RCB",Do No Play,0,Uncapped,20,Akshdeep Nath
33,UWK4,India,DDCA,27-09-1993,29,WICKETKEEPER,RHB,RIGHT ARM Fast,0,0,0,0,MI,Do No Play,0,Uncapped,20,Deepak Punia
33,UWK4,India,RCA,09-10-2002,20,WICKETKEEPER,LHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Kunal Rathore
33,UWK4,India,JKCA,07-04-1996,27,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ateev Saini
33,UWK4,India,BICA,20-11-1999,23,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Bipin Saurabh
33,UWK4,India,KSCA,28-09-1996,26,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,B.R. Sharath
33,UWK4,India,UPCA,21-08-2002,20,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Yashovardhan Singh
33,UWK4,India,DDCA,15-09-1997,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Lakshay Thareja
34,UFA4,India,MCA,18-11-1992,30,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Mohit Avasthi
34,UFA4,South Africa,F,18-03-1993,30,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ottneil Baartman
34,UFA4,India,PCA,25-05-2000,22,BOWLER,LHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Gurnoor Singh Brar
34,UFA4,India,JKCA,12-06-1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shahrukh Dar
34,UFA4,England,F,07-05-1994,28,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,40,Thomas Helm
34,UFA4,India,HPCA,20-09-1995,27,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,MI,Do No Play,0,Uncapped,20,Pankaj Jaswal
34,UFA4,India,KSCA,12-05-2000,22,BOWLER,LHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Venkatesh Muralidhara
34,UFA4,India,CAB,06-11-1994,28,BOWLER,RHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Geet Puri
34,UFA4,India,HYCA,08-10-1999,23,BOWLER,LHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,E. Sanketh
34,UFA4,India,TCA,10-03-1997,26,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ajay Sarkar
34,UFA4,India,RCA,17-06-2002,20,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ashok Sharma
34,UFA4,India,HPCA,16-06-1991,31,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Kanwar Singh
35,AL5,West Indies,F,07-05-1995,27,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,20,34,5,"SRH, PBKS, MI",MI,1,Capped,50,Fabian Allen
35,AL5,West Indies,F,18-07-1988,34,ALL-ROUNDER,RHB,RIGHT ARM Fast,3,44,41,16,"DD, SRH, KKR",Do No Play,0,Capped,75,Carlos Brathwaite
35,AL5,West Indies,F,22-03-1992,31,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,43,33,6,0,Do No Play,Do No Play,0,Capped,100,Roston Chase
35,AL5,West Indies,F,01-02-1993,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,9,0,0,0,Do No Play,Do No Play,0,Capped,100,Rahkeem Cornwall
35,AL5,Afghanistan,F,11-08-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,1,41,0,Do No Play,Do No Play,0,Capped,50,Karim Janat
35,AL5,South Africa,F,07-02-1990,33,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,45,26,25,0,Do No Play,Do No Play,0,Capped,50,Keshav Maharaj
35,AL5,India,DDCA,06-01-1993,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,1,50,"CSK, RCB, DD, KKR",Do No Play,0,Capped,50,Pawan Negi
35,AL5,West Indies,F,21-02-1998,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,3,23,23,8,DC,Do No Play,0,Capped,50,Keemo Paul
36,UAL5,India,RSPB,04-08-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shivam Chaudhary
36,UAL5,India,MPCA,16-12-1995,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ashwin Das
36,UAL5,England,F,24-01-1990,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,40,James Fuller
36,UAL5,India,SCA,09-11-1989,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Chirag Jani
36,UAL5,India,VCA,12-10-1992,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Akshay Karnewar
36,UAL5,India,UTCA,18-06-1997,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Bhagmender Lather
36,UAL5,India,JKCA,05-09-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Lone Muzaffar
36,UAL5,India,SSCB,18-06-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Pulkit Narang
36,UAL5,India,HYCA,29-07-1994,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Rohit Rayudu
36,UAL5,India,UPCA,06-12-2003,19,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sameer Rizvi
36,UAL5,India,GCA,25-09-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Tunish Sawkar
36,UAL5,India,TNCA,11-11-1999,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sonu Yadav
37,UFA5,India,JKCA,04-11-1996,26,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Auqib Dar
